date,percentage_change,constraining,litigious,negative,positive,superfluous,uncertainty,sentiment,p1_percentage_change,p2_percentage_change,p3_percentage_change,p4_percentage_change
28/02/2018,0.004493551,0,0,2,0,0,0,-2,0.009591413,0.023043641,0.031116019,-0.004694989
01/03/2018,0.009591413,0,0,0,1,0,0,1,0.023043641,0.031116019,-0.004694989,0.022562146
02/03/2018,0.023043641,0,0,0,0,0,0,0,0.031116019,-0.004694989,0.022562146,-0.052830082
03/03/2018,0.031116019,0,0,0,0,0,0,0,-0.004694989,0.022562146,-0.052830082,-0.083946549
04/03/2018,-0.004694989,0,0,0,0,0,0,0,0.022562146,-0.052830082,-0.083946549,-0.047775368
05/03/2018,0.022562146,0,0,0,0,0,0,0,-0.052830082,-0.083946549,-0.047775368,-0.089290371
06/03/2018,-0.052830082,0,0,0,0,0,0,0,-0.083946549,-0.047775368,-0.089290371,0.03360135
07/03/2018,-0.083946549,0,0,0,0,0,0,0,-0.047775368,-0.089290371,0.03360135,-0.004466916
08/03/2018,-0.047775368,0,0,0,1,0,0,1,-0.089290371,0.03360135,-0.004466916,0.022584066
09/03/2018,-0.089290371,0,0,0,0,0,0,0,0.03360135,-0.004466916,0.022584066,-0.020248704
10/03/2018,0.03360135,0,0,0,0,0,0,0,-0.004466916,0.022584066,-0.020248704,-0.064489894
11/03/2018,-0.004466916,0,0,0,0,0,0,0,0.022584066,-0.020248704,-0.064489894,-0.063889542
12/03/2018,0.022584066,0,1,1,1,0,0,0,-0.020248704,-0.064489894,-0.063889542,0.02824169
13/03/2018,-0.020248704,0,2,0,0,0,0,0,-0.064489894,-0.063889542,0.02824169,-0.029959392
14/03/2018,-0.064489894,0,0,0,0,0,0,0,-0.063889542,0.02824169,-0.029959392,-0.050102377
15/03/2018,-0.063889542,0,1,1,2,0,0,1,0.02824169,-0.029959392,-0.050102377,0.08184824
16/03/2018,0.02824169,0,0,0,0,0,0,0,-0.029959392,-0.050102377,0.08184824,0.03268634
17/03/2018,-0.029959392,0,0,0,0,0,0,0,-0.050102377,0.08184824,0.03268634,0.035180817
18/03/2018,-0.050102377,0,2,0,1,0,0,1,0.08184824,0.03268634,0.035180817,-0.02763767
19/03/2018,0.08184824,0,0,0,3,0,0,3,0.03268634,0.035180817,-0.02763767,-0.025083851
20/03/2018,0.03268634,0,1,3,1,0,0,-2,0.035180817,-0.02763767,-0.025083851,0.0338522
21/03/2018,0.035180817,0,0,0,0,0,0,0,-0.02763767,-0.025083851,0.0338522,-0.034851909
22/03/2018,-0.02763767,0,3,8,4,0,1,-4,-0.025083851,0.0338522,-0.034851909,-0.037940635
23/03/2018,-0.025083851,0,0,0,0,0,0,0,0.0338522,-0.034851909,-0.037940635,-0.032318469
24/03/2018,0.0338522,0,0,0,0,0,0,0,-0.034851909,-0.037940635,-0.032318469,-0.003087807
25/03/2018,-0.034851909,0,0,0,0,0,0,0,-0.037940635,-0.032318469,-0.003087807,-0.070296688
26/03/2018,-0.037940635,0,0,0,0,0,0,0,-0.032318469,-0.003087807,-0.070296688,-0.080153156
27/03/2018,-0.032318469,0,0,0,0,0,0,0,-0.003087807,-0.070296688,-0.080153156,0.023628882
28/03/2018,-0.003087807,0,0,0,0,0,0,0,-0.070296688,-0.080153156,0.023628882,-0.046495814
29/03/2018,-0.070296688,0,1,0,0,0,1,0,-0.080153156,0.023628882,-0.046495814,0.03915144
30/03/2018,-0.080153156,0,0,0,0,0,0,0,0.023628882,-0.046495814,0.03915144,0.047788598
31/03/2018,0.023628882,0,0,0,0,0,0,0,-0.046495814,0.03915144,0.047788598,-0.043164401
01/04/2018,-0.046495814,0,0,0,0,0,0,0,0.03915144,0.047788598,-0.043164401,-0.042059022
02/04/2018,0.03915144,0,0,2,1,0,0,-1,0.047788598,-0.043164401,-0.042059022,-0.016284041
03/04/2018,0.047788598,0,0,1,0,0,1,-1,-0.043164401,-0.042059022,-0.016284041,0.037207886
04/04/2018,-0.043164401,0,1,3,0,0,0,-3,-0.042059022,-0.016284041,0.037207886,0.015247529
05/04/2018,-0.042059022,0,1,2,0,0,0,-2,-0.016284041,0.037207886,0.015247529,-0.023933701
06/04/2018,-0.016284041,0,0,0,0,0,0,0,0.037207886,0.015247529,-0.023933701,-0.007777288
07/04/2018,0.037207886,0,0,0,0,0,0,0,0.015247529,-0.023933701,-0.007777288,0.015709466
08/04/2018,0.015247529,0,0,0,0,0,0,0,-0.023933701,-0.007777288,0.015709466,0.086520324
09/04/2018,-0.023933701,0,0,0,0,0,0,0,-0.007777288,0.015709466,0.086520324,0.060176951
10/04/2018,-0.007777288,0,4,0,3,0,0,3,0.015709466,0.086520324,0.060176951,-0.001156844
11/04/2018,0.015709466,0,4,0,0,0,0,0,0.086520324,0.060176951,-0.001156844,0.028270555
12/04/2018,0.086520324,0,0,2,0,0,0,-2,0.060176951,-0.001156844,0.028270555,-0.019483248
