date,open,high,low,close,volume,market_cap,symbol
"Nov 30, 2020",18178.32,19749.26,18178.32,19625.84,47728480399,364229729426,BTC
"Nov 29, 2020",17719.63,18283.63,17559.12,18177.48,31133957704,337336592123,BTC
"Nov 28, 2020",17112.93,17853.94,16910.65,17717.42,32601040734,328782832212,BTC
"Nov 27, 2020",17153.91,17445.02,16526.42,17108.4,38886494645,317464460530,BTC
"Nov 26, 2020",18729.84,18866.29,16351.03,17150.62,61396835737,318231964319,BTC
"Nov 25, 2020",19104.41,19390.97,18581.15,18732.12,43710357371,347558803507,BTC
"Nov 24, 2020",18365.01,19348.27,18128.66,19107.46,51469565009,354504361032,BTC
"Nov 23, 2020",18370.02,18711.43,18000.8,18364.12,42741112308,340698070308,BTC
"Nov 22, 2020",18642.23,18688.97,17671.38,18370,41280434226,340790183317,BTC
"Nov 21, 2020",18621.32,18936.62,18444.36,18642.23,39650210707,345819234185,BTC
"Nov 20, 2020",17817.08,18773.23,17765.8,18621.31,36992873940,345411881099,BTC
"Nov 19, 2020",17803.86,18119.55,17382.55,17817.09,36985055355,330475167134,BTC
"Nov 18, 2020",17645.19,18393.95,17352.91,17804.01,49064800278,330218014062,BTC
"Nov 17, 2020",16685.69,17782.92,16564.54,17645.41,39006849170,327257094857,BTC
"Nov 16, 2020",15955.58,16816.18,15880.71,16716.11,31526766675,309889423249,BTC
"Nov 15, 2020",16068.14,16123.11,15793.53,15955.59,23653867583,295790551598,BTC
"Nov 14, 2020",16317.81,16317.81,15749.19,16068.14,27481710135,297877068423,BTC
"Nov 13, 2020",16276.44,16463.18,15992.15,16317.81,31599492172,302505533181,BTC
"Nov 12, 2020",15701.3,16305,15534.77,16276.34,34175758344,301736853825,BTC
"Nov 11, 2020",15290.91,15916.26,15290.01,15701.34,29772374934,291077214052,BTC
"Nov 10, 2020",15332.35,15450.33,15124.96,15290.9,25574938143,283468380961,BTC
"Nov 09, 2020",15479.6,15785.14,14865.53,15332.32,34149115566,284236108837,BTC
"Nov 08, 2020",14833.75,15637.32,14744.11,15479.57,26632075029,286955182899,BTC
"Nov 07, 2020",15565.88,15737.1,14423.2,14833.75,35024953706,274970333140,BTC
"Nov 06, 2020",15579.73,15903.44,15226.84,15565.88,39837841971,288526920959,BTC
"Nov 05, 2020",14133.73,15706.4,14102.09,15579.85,40856321439,288771509681,BTC
"Nov 04, 2020",13950.49,14218.77,13580.47,14133.71,35116364962,261954213176,BTC
"Nov 03, 2020",13550.45,13984.98,13325.44,13950.3,29869951617,258541441764,BTC
"Nov 02, 2020",13737.03,13808.32,13243.16,13550.49,30771455468,251119864445,BTC
"Nov 01, 2020",13780.99,13862.03,13628.38,13737.11,24453857900,254569759063,BTC
"Oct 31, 2020",13546.53,14028.21,13457.53,13780.99,30306464719,255372071116,BTC
"Oct 30, 2020",13437.87,13651.52,13136.2,13546.52,30581485201,251018154920,BTC
"Oct 29, 2020",13271.3,13612.05,12980.06,13437.88,56499499598,248995322466,BTC
"Oct 28, 2020",13654.21,13837.7,12932.25,13271.29,35867318895,245899824465,BTC
"Oct 27, 2020",13075.24,13759.67,13060.84,13654.22,33749878156,252985946390,BTC
"Oct 26, 2020",13031.2,13225.3,12822.38,13075.25,29461458313,242250997936,BTC
"Oct 25, 2020",13108.06,13329.18,12910.06,13031.17,24406920575,241425217440,BTC
"Oct 24, 2020",12931.57,13145.07,12885.75,13108.06,24542317940,242839876186,BTC
"Oct 23, 2020",12971.55,13015.96,12752.65,12931.54,28974975003,239557562148,BTC
"Oct 22, 2020",12801.64,13161.59,12717.09,12965.89,34729759598,240166387522,BTC
"Oct 21, 2020",11913.08,13184.57,11900.93,12823.69,43414712626,237532386963,BTC
"Oct 20, 2020",11745.97,11999.92,11681.48,11916.34,30915821592,220721282865,BTC
"Oct 19, 2020",11495.04,11799.09,11408.29,11742.04,23860769928,217482407293,BTC
"Oct 18, 2020",11355.98,11483.36,11347.58,11483.36,18283314340,212682581771,BTC
