date,bitx,percent_change
Feb 07 2019,4165.71,0.20%
Feb 08 2019,4545.38,9.11%
Feb 09 2019,4539.62,-0.13%
Feb 10 2019,4519.01,-0.45%
Feb 11 2019,4524.24,0.12%
Feb 12 2019,4558.33,0.75%
Feb 13 2019,4493.36,-1.43%
Feb 14 2019,4483.88,-0.21%
Feb 15 2019,4485.51,0.04%
Feb 16 2019,4537.36,1.16%
Feb 17 2019,4525.48,-0.26%
Feb 18 2019,4950.09,9.38%
Feb 19 2019,5051.25,2.04%
Feb 20 2019,5059.03,0.15%
Feb 21 2019,4970.08,-1.76%
Feb 22 2019,5038.45,1.38%
Feb 23 2019,5309.69,5.38%
Feb 24 2019,4818.78,-9.25%
Feb 25 2019,4889.37,1.46%
Feb 26 2019,4822.9,-1.36%
Feb 27 2019,4707.65,-2.39%
Feb 28 2019,4833.57,2.67%
Mar 01 2019,4885.22,1.07%
Mar 02 2019,4821.79,-1.30%
Mar 03 2019,4817.79,-0.08%
Mar 04 2019,4670.2,-3.06%
Mar 05 2019,4894.51,4.80%
Mar 06 2019,4909.25,0.30%
Mar 07 2019,4943.08,0.69%
Mar 08 2019,4959.65,0.34%
Mar 09 2019,4953.47,-0.12%
Mar 10 2019,4943.14,-0.21%
Mar 11 2019,4874.97,-1.38%
Mar 12 2019,4908.08,0.68%
Mar 13 2019,4911.59,0.07%
Mar 14 2019,4907.82,-0.08%
Mar 15 2019,5005.82,2.00%
Mar 16 2019,5107.89,2.04%
Mar 17 2019,5096.05,-0.23%
Mar 18 2019,5072.77,-0.46%
Mar 19 2019,5112.6,0.79%
Mar 20 2019,5129.12,0.32%
Mar 21 2019,5051.7,-1.51%
Mar 22 2019,5091.19,0.78%
Mar 23 2019,5074.06,-0.34%
Mar 24 2019,5056.28,-0.35%
Mar 25 2019,4962.48,-1.86%
Mar 26 2019,4973.76,0.23%
Mar 27 2019,5138.85,3.32%
Mar 28 2019,5131.55,-0.14%
Mar 29 2019,5214.23,1.61%
Mar 30 2019,5217.32,0.06%
Mar 31 2019,5234.34,0.33%
Apr 01 2019,5274.34,0.76%
Apr 02 2019,6077.88,15.23%
Apr 03 2019,6704.06,10.30%
Apr 04 2019,6124.92,-8.64%
Apr 05 2019,6456.42,5.41%
Apr 06 2019,6655.92,3.09%
Apr 07 2019,6613.07,-0.64%
Apr 08 2019,6682.95,1.06%
Apr 09 2019,6669.69,-0.20%
Apr 10 2019,6906.14,3.55%
Apr 11 2019,6396.15,-7.38%
Apr 12 2019,6372.08,-0.38%
Apr 13 2019,6374.2,0.03%
Apr 14 2019,6397.39,0.36%
Apr 15 2019,6294.22,-1.61%
Apr 16 2019,6524.17,3.65%
Apr 17 2019,6573.48,0.76%
Apr 18 2019,6680.34,1.63%
Apr 19 2019,6657.96,-0.34%
Apr 20 2019,6663.28,0.08%
Apr 21 2019,6520.95,-2.14%
Apr 22 2019,6674.8,2.36%
Apr 23 2019,6835.8,2.41%
Apr 24 2019,6545.24,-4.25%
Apr 25 2019,6621.83,1.17%
Apr 26 2019,6145.35,-7.20%
Apr 27 2019,6305.34,2.60%
Apr 28 2019,6198.46,-1.70%
Apr 29 2019,6183.47,-0.24%
Apr 30 2019,6331.82,2.40%
May 01 2019,6397.02,1.03%
May 02 2019,6466.36,1.08%
May 03 2019,6796.2,5.10%
May 04 2019,6685.44,-1.63%
May 05 2019,6770.29,1.27%
May 06 2019,6862.93,1.37%
May 07 2019,6907.06,0.64%
May 08 2019,6945.17,0.55%
May 09 2019,7039.92,1.36%
May 10 2019,7368.22,4.66%
May 11 2019,8086.63,9.75%
May 12 2019,8087.04,0.01%
May 13 2019,8970.66,10.93%
May 14 2019,9004.43,0.38%
May 15 2019,9713.73,7.88%
May 16 2019,9448.78,-2.73%
May 17 2019,8557.73,-9.43%
May 18 2019,8692.68,1.58%
May 19 2019,9520.83,9.53%
May 20 2019,9321.66,-2.09%
May 21 2019,9568.75,2.65%
May 22 2019,9435.07,-1.40%
May 23 2019,9181.46,-2.69%
May 24 2019,9566.22,4.19%
May 25 2019,9492.69,-0.77%
May 26 2019,10067.79,6.06%
May 27 2019,10460.08,3.90%
May 28 2019,10421.35,-0.37%
May 29 2019,10473.21,0.50%
May 30 2019,10350.95,-1.17%
May 31 2019,10119.27,-2.24%
Jun 01 2019,10219,0.99%
Jun 02 2019,10367.22,1.45%
Jun 03 2019,10230.78,-1.32%
Jun 04 2019,9057.04,-11.47%
Jun 05 2019,9330.63,3.02%
Jun 06 2019,9124.77,-2.21%
Jun 07 2019,9592.3,5.12%
Jun 08 2019,9392.41,-2.08%
Jun 09 2019,9231.17,-1.72%
Jun 10 2019,9552.73,3.48%
Jun 11 2019,9494.3,-0.61%
Jun 12 2019,9810.54,3.33%
Jun 13 2019,9877.32,0.68%
Jun 14 2019,9952.48,0.76%
Jun 15 2019,10490.63,5.41%
Jun 16 2019,10519.77,0.28%
Jun 17 2019,10896.97,3.59%
Jun 18 2019,10628.51,-2.46%
Jun 19 2019,10752.4,1.17%
Jun 20 2019,11036.95,2.65%
Jun 21 2019,11513.81,4.32%
Jun 22 2019,12335.79,7.14%
Jun 23 2019,12581.5,1.99%
Jun 24 2019,12441.74,-1.11%
Jun 25 2019,12818.68,3.03%
Jun 26 2019,15058.94,17.48%
Jun 27 2019,11967.15,-20.53%
Jun 28 2019,13373.05,11.75%
Jun 29 2019,13065.05,-2.30%
Jun 30 2019,12418.3,-4.95%
Jul 01 2019,11382.23,-8.34%
Jul 02 2019,11911.08,4.65%
Jul 03 2019,12355.83,3.73%
Jul 04 2019,12852.48,4.02%
Jul 05 2019,12173.01,-5.29%
Jul 06 2019,12552.25,3.12%
Jul 07 2019,12646.79,0.75%
Jul 08 2019,13205.87,4.42%
Jul 09 2019,13395.78,1.44%
Jul 10 2019,12779.57,-4.60%
Jul 11 2019,12204.03,-4.50%
Jul 12 2019,12296.45,0.76%
Jul 13 2019,11870.22,-3.47%
Jul 14 2019,11012.62,-7.22%
Jul 15 2019,11317.99,2.77%
Jul 16 2019,10122.99,-10.56%
Jul 17 2019,10274.28,1.49%
Jul 18 2019,11015.39,7.21%
Jul 19 2019,10873.77,-1.29%
Jul 20 2019,11479.02,5.57%
Jul 21 2019,10934.92,-4.74%
Jul 22 2019,10619.8,-2.88%
Jul 23 2019,10646.08,0.25%
Jul 24 2019,10221.62,-3.99%
Jul 25 2019,10438.69,2.12%
Jul 26 2019,10494.49,0.53%
Jul 27 2019,9981.33,-4.89%
Jul 28 2019,10101.94,1.21%
Jul 29 2019,10042.89,-0.58%
Jul 30 2019,10200.57,1.57%
Jul 31 2019,10556.67,3.49%
Aug 01 2019,10792.47,2.23%
Aug 02 2019,10903.41,1.03%
Aug 03 2019,11277.54,3.43%
Aug 04 2019,11343.29,0.58%
Aug 05 2019,12082.09,6.51%
Aug 06 2019,11943.34,-1.15%
Aug 07 2019,11970.67,0.23%
Aug 08 2019,11751.63,-1.83%
Aug 09 2019,11851.46,0.85%
Aug 10 2019,11484.91,-3.09%
Aug 11 2019,11615.38,1.14%
Aug 12 2019,11616.82,0.01%
Aug 13 2019,11142.12,-4.09%
Aug 14 2019,10288.6,-7.66%
Aug 15 2019,10262.52,-0.25%
Aug 16 2019,10561.24,2.91%
Aug 17 2019,10290.94,-2.56%
Aug 18 2019,10599.01,2.99%
Aug 19 2019,10846.02,2.33%
Aug 20 2019,10841.85,-0.04%
Aug 21 2019,10248.91,-5.47%
Aug 22 2019,10362.87,1.11%
Aug 23 2019,10589.94,2.19%
Aug 24 2019,10316.98,-2.58%
Aug 25 2019,10230,-0.84%
Aug 26 2019,10438.84,2.04%
Aug 27 2019,10309.06,-1.24%
Aug 28 2019,9759.57,-5.33%
Aug 29 2019,9600.77,-1.63%
Aug 30 2019,9649.58,0.51%
Aug 31 2019,9649.81,0.00%
Sep 01 2019,9717.62,0.70%
Sep 02 2019,10222.68,5.20%
Sep 03 2019,10633.81,4.02%
Sep 04 2019,10648.66,0.14%
Sep 05 2019,10444.05,-1.92%
Sep 06 2019,10310.95,-1.27%
Sep 07 2019,10511.08,1.94%
Sep 08 2019,10396.37,-1.09%
Sep 09 2019,10375.96,-0.20%
Sep 10 2019,10101.49,-2.65%
Sep 11 2019,10129.09,0.27%
Sep 12 2019,10341.53,2.10%
Sep 13 2019,10249.13,-0.89%
Sep 14 2019,10497.34,2.42%
Sep 15 2019,10419.01,-0.75%
Sep 16 2019,10278.01,-1.35%
Sep 17 2019,10579.85,2.94%
Sep 18 2019,10591.84,0.11%
Sep 19 2019,10551.9,-0.38%
Sep 20 2019,10502.11,-0.47%
Sep 21 2019,10377.51,-1.19%
Sep 22 2019,10259.81,-1.13%
Sep 23 2019,10117,-1.39%
Sep 24 2019,8641.15,-14.59%
Sep 25 2019,8548.74,-1.07%
Sep 26 2019,8324.16,-2.63%
Sep 27 2019,8232.88,-1.10%
Sep 28 2019,8411.64,2.17%
Sep 29 2019,8184.45,-2.70%
Sep 30 2019,8560.76,4.60%
Oct 01 2019,8559.99,-0.01%
Oct 02 2019,8536.27,-0.28%
Oct 03 2019,8402.88,-1.56%
Oct 04 2019,8498.86,1.14%
Oct 05 2019,8381.78,-1.38%
Oct 06 2019,8202.62,-2.14%
Oct 07 2019,8593.12,4.76%
Oct 08 2019,8524.54,-0.80%
Oct 09 2019,8968.77,5.21%
Oct 10 2019,8918.47,-0.56%
Oct 11 2019,8659.83,-2.90%
Oct 12 2019,8630.69,-0.34%
Oct 13 2019,8775.14,1.67%
Oct 14 2019,8721.54,-0.61%
Oct 15 2019,8533.04,-2.16%
Oct 16 2019,8300.39,-2.73%
Oct 17 2019,8449.62,1.80%
Oct 18 2019,8334.07,-1.37%
Oct 19 2019,8339.33,0.06%
Oct 20 2019,8585.93,2.96%
Oct 21 2019,8546.35,-0.46%
Oct 22 2019,8519.55,-0.31%
Oct 23 2019,7815.76,-8.26%
Oct 24 2019,7859.7,0.56%
Oct 25 2019,8977.03,14.22%
Oct 26 2019,9230.42,2.82%
Oct 27 2019,9913.38,7.40%
Oct 28 2019,9638.47,-2.77%
Oct 29 2019,9538.43,-1.04%
Oct 30 2019,9477.37,-0.64%
Oct 31 2019,9489.5,0.13%
Nov 01 2019,9431.19,-0.61%
Nov 02 2019,9599.68,1.79%
Nov 03 2019,9420.34,-1.87%
Nov 04 2019,9737.61,3.37%
Nov 05 2019,9693.79,-0.45%
Nov 06 2019,9637.4,-0.58%
Nov 07 2019,9489.43,-1.54%
Nov 08 2019,9132.09,-3.77%
Nov 09 2019,9125.83,-0.07%
Nov 10 2019,9397.66,2.98%
Nov 11 2019,9088.19,-3.29%
Nov 12 2019,9144.07,0.61%
Nov 13 2019,9107.01,-0.41%
Nov 14 2019,8992.27,-1.26%
Nov 15 2019,8789.52,-2.25%
Nov 16 2019,8789.81,0.00%
Nov 17 2019,8880.46,1.03%
Nov 18 2019,8524.54,-4.01%
Nov 19 2019,8400.68,-1.45%
Nov 20 2019,8386.21,-0.17%
Nov 21 2019,7851.76,-6.37%
Nov 22 2019,7582.73,-3.43%
Nov 23 2019,7542.71,-0.53%
Nov 24 2019,7281.44,-3.46%
Nov 25 2019,7379.33,1.34%
Nov 26 2019,7341.85,-0.51%
Nov 27 2019,7773.09,5.87%
Nov 28 2019,7780.07,0.09%
Nov 29 2019,7940.58,2.06%
Nov 30 2019,7707.24,-2.94%
Dec 01 2019,7575.5,-1.71%
Dec 02 2019,7499.19,-1.01%
Dec 03 2019,7505.71,0.09%
Dec 04 2019,7392.17,-1.51%
Dec 05 2019,7573.79,2.46%
Dec 06 2019,7620.09,0.61%
Dec 07 2019,7692.06,0.94%
Dec 08 2019,7735.3,0.56%
Dec 09 2019,7499.4,-3.05%
Dec 10 2019,7395.28,-1.39%
Dec 11 2019,7361.25,-0.46%
Dec 12 2019,7442.78,1.11%
Dec 13 2019,7452.65,0.13%
Dec 14 2019,7272.34,-2.42%
Dec 15 2019,7324.57,0.72%
Dec 16 2019,6988.34,-4.59%
Dec 17 2019,6639.6,-4.99%
Dec 18 2019,7179.27,8.13%
Dec 19 2019,7164.89,-0.20%
Dec 20 2019,7238.18,1.02%
Dec 21 2019,7176.77,-0.85%
Dec 22 2019,7443.45,3.72%
Dec 23 2019,7396.56,-0.63%
Dec 24 2019,7230.66,-2.24%
Dec 25 2019,7234.05,0.05%
Dec 26 2019,7253.2,0.26%
Dec 27 2019,7223.9,-0.40%
Dec 28 2019,7355.19,1.82%
Dec 29 2019,7442.12,1.18%
Dec 30 2019,7295.99,-1.96%
Dec 31 2019,7184.06,-1.53%
Jan 01 2020,7274.26,1.26%
Jan 02 2020,6978.62,-4.06%
Jan 03 2020,7364.49,5.53%
Jan 04 2020,7385.72,0.29%
Jan 05 2020,7504.82,1.61%
Jan 06 2020,7693.29,2.51%
Jan 07 2020,8204.93,6.65%
Jan 08 2020,8037.81,-2.04%
Jan 09 2020,7843.62,-2.42%
Jan 10 2020,8125.34,3.59%
Jan 11 2020,8243.77,1.46%
Jan 12 2020,8211.74,-0.39%
Jan 13 2020,8214.1,0.03%
Jan 14 2020,8881.87,8.13%
Jan 15 2020,9008.02,1.42%
Jan 16 2020,8935.51,-0.80%
Jan 17 2020,9121.54,2.08%
Jan 18 2020,9170.99,0.54%
Jan 19 2020,8851.09,-3.49%
Jan 20 2020,8909.9,0.66%
Jan 21 2020,8953.18,0.49%
Jan 22 2020,8910.09,-0.48%
Jan 23 2020,8567.99,-3.84%
Jan 24 2020,8688.09,1.40%
Jan 25 2020,8555.89,-1.52%
Jan 26 2020,8793.86,2.78%
Jan 27 2020,9218.38,4.83%
Jan 28 2020,9289.61,0.77%
Jan 29 2020,9595.85,3.30%
Jan 30 2020,9845.97,2.61%
Jan 31 2020,9575.81,-2.74%
Feb 01 2020,9672.08,1.01%
Feb 02 2020,9815.78,1.49%
Feb 03 2020,9692.42,-1.26%
Feb 04 2020,9580.49,-1.15%
Feb 05 2020,10161.34,6.06%
Feb 06 2020,10301.96,1.38%
Feb 07 2020,10285.48,-0.16%
Feb 08 2020,10455.24,1.65%
Feb 09 2020,10617.83,1.56%
Feb 10 2020,10432.94,-1.74%
Feb 11 2020,10912.67,4.60%
Feb 12 2020,11262.36,3.20%
Feb 13 2020,11110.33,-1.35%
Feb 14 2020,11363.15,2.28%
Feb 15 2020,10753.31,-5.37%
Feb 16 2020,10455.85,-2.77%
Feb 17 2020,10373.38,-0.79%
Feb 18 2020,11026.49,6.30%
Feb 19 2020,10933.25,-0.85%
Feb 20 2020,10253.62,-6.22%
Feb 21 2020,10430.19,1.72%
Feb 22 2020,10408.37,-0.21%
Feb 23 2020,10649.18,2.31%
Feb 24 2020,10275.83,-3.51%
Feb 25 2020,9936.96,-3.30%
Feb 26 2020,9305.25,-6.36%
Feb 27 2020,9434.7,1.39%
Feb 28 2020,9114.67,-3.39%
Feb 29 2020,9162.04,0.52%
Mar 01 2020,8942.56,-2.40%
Mar 02 2020,9438.98,5.55%
Mar 03 2020,9212.08,-2.40%
Mar 04 2020,9195.62,-0.18%
Mar 05 2020,9638.43,4.82%
Mar 06 2020,9678.29,0.41%
Mar 07 2020,9449.06,-2.37%
Mar 08 2020,8737.24,-7.53%
Mar 09 2020,8203.87,-6.10%
Mar 10 2020,8385.36,2.21%
Mar 11 2020,8161.77,-2.67%
Mar 12 2020,6229.16,-23.68%
Mar 13 2020,5696.45,-8.55%
Mar 14 2020,5649.7,-0.82%
Mar 15 2020,5547.57,-1.81%
Mar 16 2020,5146.07,-7.24%
Mar 17 2020,5589.47,8.62%
Mar 18 2020,5521.94,-1.21%
Mar 19 2020,6438.38,16.60%
Mar 20 2020,6358.22,-1.25%
Mar 21 2020,6401.26,0.68%
Mar 22 2020,6070.08,-5.17%
Mar 23 2020,6423.87,5.83%
Mar 24 2020,6847.56,6.60%
Mar 25 2020,6739.04,-1.58%
Mar 26 2020,6787.53,0.72%
Mar 27 2020,6820.69,0.49%
Mar 28 2020,6399.88,-6.17%
Mar 29 2020,6088.11,-4.87%
Mar 30 2020,6543.25,7.48%
Mar 31 2020,6630.88,1.34%
Apr 01 2020,6383.43,-3.73%
Apr 02 2020,6955.06,8.95%
Apr 03 2020,6946.5,-0.12%
Apr 04 2020,6936.33,-0.15%
Apr 05 2020,6973.78,0.54%
Apr 06 2020,7536.99,8.08%
Apr 07 2020,7577.53,0.54%
Apr 08 2020,7621.09,0.57%
Apr 09 2020,7569.8,-0.67%
Apr 10 2020,7172.64,-5.25%
Apr 11 2020,7067.46,-1.47%
Apr 12 2020,7404.29,4.77%
Apr 13 2020,7031.72,-5.03%
Apr 14 2020,7177.52,2.07%
Apr 15 2020,6990.15,-2.61%
Apr 16 2020,7380.99,5.59%
Apr 17 2020,7365.99,-0.20%
Apr 18 2020,7569.55,2.76%
Apr 19 2020,7479.92,-1.18%
Apr 20 2020,7058.17,-5.64%
Apr 21 2020,7193.59,1.92%
Apr 22 2020,7435.86,3.37%
Apr 23 2020,7859.63,5.70%
Apr 24 2020,7872.06,0.16%
Apr 25 2020,7917.02,0.57%
Apr 26 2020,8024.94,1.36%
Apr 27 2020,8047.78,0.28%
Apr 28 2020,8108.89,0.76%
Apr 29 2020,9091.29,12.12%
Apr 30 2020,9113.71,0.25%
May 01 2020,9004.94,-1.19%
May 02 2020,9200.13,2.17%
May 03 2020,9131.47,-0.75%
May 04 2020,9065.77,-0.72%
May 05 2020,9122.55,0.63%
May 06 2020,9398.37,3.02%
May 07 2020,9941.92,5.78%
May 08 2020,10027.81,0.86%
May 09 2020,9889,-1.38%
May 10 2020,8614.76,-12.89%
May 11 2020,8816.72,2.34%
May 12 2020,8883.04,0.75%
May 13 2020,9225.68,3.86%
May 14 2020,9664.87,4.76%
May 15 2020,9336.39,-3.40%
May 16 2020,9375.62,0.42%
May 17 2020,9758.38,4.08%
May 18 2020,9757.05,-0.01%
May 19 2020,9702.55,-0.56%
May 20 2020,9599.14,-1.07%
May 21 2020,9126.61,-4.92%
May 22 2020,9297.71,1.87%
May 23 2020,9300.09,0.03%
May 24 2020,9149.45,-1.62%
May 25 2020,9068.83,-0.88%
May 26 2020,8913.21,-1.72%
May 27 2020,9259.41,3.88%
May 28 2020,9549.91,3.14%
May 29 2020,9537.54,-0.13%
May 30 2020,9771.83,2.46%
May 31 2020,9767.47,-0.04%
Jun 01 2020,9813.51,0.47%
Jun 02 2020,9756.31,-0.58%
Jun 03 2020,9850.4,0.96%
Jun 04 2020,10051.17,2.04%
Jun 05 2020,9983.43,-0.67%
Jun 06 2020,9922.89,-0.61%
Jun 07 2020,10010.55,0.88%
Jun 08 2020,9945.07,-0.65%
Jun 09 2020,9973.26,0.28%
Jun 10 2020,10087.57,1.15%
Jun 11 2020,9482.74,-6.00%
Jun 12 2020,9641.83,1.68%
Jun 13 2020,9623.43,-0.19%
Jun 14 2020,9591.13,-0.34%
Jun 15 2020,9596.96,0.06%
Jun 16 2020,9673.3,0.80%
Jun 17 2020,9482.21,-1.98%
Jun 18 2020,9571.82,0.95%
Jun 19 2020,9478.35,-0.98%
Jun 20 2020,9456.63,-0.23%
Jun 21 2020,9511.89,0.58%
Jun 22 2020,9769.6,2.71%
Jun 23 2020,9859.87,0.92%
Jun 24 2020,9492.07,-3.73%
Jun 25 2020,9479.87,-0.13%
Jun 26 2020,9364.51,-1.22%
Jun 27 2020,9058.58,-3.27%
Jun 28 2020,9254.94,2.17%
Jun 29 2020,9306.44,0.56%
Jun 30 2020,9288.77,-0.19%
Jul 01 2020,9416.85,1.38%
Jul 02 2020,9226.77,-2.02%
Jul 03 2020,9279.11,0.57%
Jul 04 2020,9329.62,0.54%
Jul 05 2020,9218.57,-1.19%
Jul 06 2020,9540.12,3.49%
Jul 07 2020,9522.35,-0.19%
Jul 08 2020,9818.42,3.11%
Jul 09 2020,9576.96,-2.46%
Jul 10 2020,9584.43,0.08%
Jul 11 2020,9570.69,-0.14%
Jul 12 2020,9592.2,0.22%
Jul 13 2020,9596.01,0.04%
Jul 14 2020,9674.6,0.82%
Jul 15 2020,9567.9,-1.10%
Jul 16 2020,9482.49,-0.89%
Jul 17 2020,9538.54,0.59%
Jul 18 2020,9559.04,0.21%
Jul 19 2020,9550.04,-0.09%
Jul 20 2020,9509.45,-0.43%
Jul 21 2020,9741.21,2.44%
Jul 22 2020,9765.97,0.25%
Jul 23 2020,10123.39,3.66%
Jul 24 2020,10131.24,0.08%
Jul 25 2020,10325.94,1.92%
Jul 26 2020,10506.95,1.75%
Jul 27 2020,11361.77,8.14%
Jul 28 2020,11566.78,1.80%
Jul 29 2020,11763.69,1.70%
Jul 30 2020,11773.5,0.08%
Jul 31 2020,11998.92,1.91%
Aug 01 2020,12660.25,5.51%
Aug 02 2020,12124.52,-4.23%
Aug 03 2020,12441.84,2.62%
Aug 04 2020,12227.44,-1.72%
Aug 05 2020,12652.13,3.47%
Aug 06 2020,12853.24,1.59%
Aug 07 2020,12377.22,-3.70%
Aug 08 2020,12675.91,2.41%
Aug 09 2020,12622.57,-0.42%
Aug 10 2020,12867.49,1.94%
Aug 11 2020,12350.2,-4.02%
Aug 12 2020,12554.83,1.66%
Aug 13 2020,12573.16,0.15%
Aug 14 2020,13085.82,4.08%
Aug 15 2020,13136.44,0.39%
Aug 16 2020,13107.48,-0.22%
Aug 17 2020,13634.53,4.02%
Aug 18 2020,13189.47,-3.26%
Aug 19 2020,12676.66,-3.89%
Aug 20 2020,12969.5,2.31%
Aug 21 2020,12680.13,-2.23%
Aug 22 2020,12585.01,-0.75%
Aug 23 2020,12687.72,0.82%
Aug 24 2020,12791.02,0.81%
Aug 25 2020,12233.02,-4.36%
Aug 26 2020,12427.89,1.59%
Aug 27 2020,12121.26,-2.47%
Aug 28 2020,12467.07,2.85%
Aug 29 2020,12553.43,0.69%
Aug 30 2020,12782.35,1.82%
Aug 31 2020,12904.84,0.96%
Sep 01 2020,13298.72,3.05%
Sep 02 2020,12556.09,-5.58%
Sep 03 2020,11731.62,-6.57%
Sep 04 2020,11551.43,-1.54%
Sep 05 2020,10619.2,-8.07%
Sep 06 2020,11075.41,4.30%
Sep 07 2020,10907.81,-1.51%
Sep 08 2020,10703.47,-1.87%
Sep 09 2020,11090.39,3.61%
Sep 10 2020,11117.63,0.25%
Sep 11 2020,11186.04,0.62%
Sep 12 2020,11392.42,1.84%
Sep 13 2020,11133.47,-2.27%
Sep 14 2020,11488.14,3.19%
Sep 15 2020,11512.66,0.21%
Sep 16 2020,11656.46,1.25%
Sep 17 2020,11746.22,0.77%
Sep 18 2020,11627.64,-1.01%
Sep 19 2020,11805.32,1.53%
Sep 20 2020,11568.58,-2.01%
Sep 21 2020,11066.2,-4.34%
Sep 22 2020,11065.77,0.00%
Sep 23 2020,10782.78,-2.56%
Sep 24 2020,11213.42,3.99%
Sep 25 2020,11370.42,1.40%
Sep 26 2020,11347.28,-0.20%
Sep 27 2020,11386.94,0.35%
Sep 28 2020,11543.78,1.38%
Sep 29 2020,11380.96,-1.41%
Sep 30 2020,11352.72,-0.25%
Oct 01 2020,11261.56,-0.80%
Oct 02 2020,11094.57,-1.48%
Oct 03 2020,11204.49,0.99%
Oct 04 2020,11317.94,1.01%
Oct 05 2020,11356.91,0.34%
Oct 06 2020,11162.11,-1.72%
Oct 07 2020,11237.02,0.67%
Oct 08 2020,11498.48,2.33%
Oct 09 2020,11694.53,1.71%
Oct 10 2020,12031.42,2.88%
Oct 11 2020,12003.6,-0.23%
Oct 12 2020,12269.24,2.21%
Oct 13 2020,12093.02,-1.44%
Oct 14 2020,12021.71,-0.59%
Oct 15 2020,12180.9,1.32%
Oct 16 2020,11920.93,-2.13%
Oct 17 2020,11951.67,0.26%
Oct 18 2020,12076.4,1.04%
Oct 19 2020,12314.48,1.97%
Oct 20 2020,12403.23,0.72%
Oct 21 2020,13183.17,6.29%
Oct 22 2020,13673.84,3.72%
Oct 23 2020,13492.24,-1.33%
Oct 24 2020,13710.15,1.62%
Oct 25 2020,13607.71,-0.75%
Oct 26 2020,13452.36,-1.14%
Oct 27 2020,14067.14,4.57%
Oct 28 2020,13536.92,-3.77%
Oct 29 2020,13798.27,1.93%
Oct 30 2020,13781.36,-0.12%
Oct 31 2020,14004.79,1.62%
Nov 01 2020,14071.92,0.48%
Nov 02 2020,13885.78,-1.32%
Nov 03 2020,13890.5,0.03%
Nov 04 2020,14217.83,2.36%
Nov 05 2020,15157.85,6.61%
Nov 06 2020,15666.8,3.36%
Nov 07 2020,15111.32,-3.55%
Nov 08 2020,15636.01,3.47%
Nov 09 2020,15592.07,-0.28%
Nov 10 2020,15549.24,-0.27%
Nov 11 2020,15978.13,2.76%
Nov 12 2020,16259.4,1.76%
Nov 13 2020,16416.91,0.97%
Nov 14 2020,16203.79,-1.30%
Nov 15 2020,15983.9,-1.36%
Nov 16 2020,16920.54,5.86%
Nov 17 2020,17753.75,4.92%
Nov 18 2020,17623.77,-0.73%
Nov 19 2020,18026.97,2.29%
Nov 20 2020,18726.37,3.88%
Nov 21 2020,19155.62,2.29%
Nov 22 2020,19316.13,0.84%
Nov 23 2020,19529.01,1.10%
Nov 24 2020,20578.21,5.37%
Nov 25 2020,20555.19,-0.11%
Nov 26 2020,18117.54,-11.86%
Nov 27 2020,18042.78,-0.41%
Nov 28 2020,18824.4,4.33%
Nov 29 2020,19313.8,2.60%
Nov 30 2020,20644.19,6.89%
Dec 01 2020,20195.81,-2.17%
Dec 02 2020,20243.32,0.24%
Dec 03 2020,20560.46,1.57%
