date,BCHAIN.AVBLS,BCHAIN.HRATE,BCHAIN.MIREV,BCHAIN.MKTCP,BCHAIN.NADDU,BCHAIN.TOTBC,BCHAIN.TOUTV
2013-02-28,0.158891622086,31.0352641116,145256.04336,363158533.406,43778,10840550,1331847.07523
2013-03-01,0.185094954092,34.3062704063,140244.39779,378234362.555,51127,10844500,1621906.50871
2013-03-02,0.180614871979,32.5692440566,130023.7632,370801863.6,40918,10848250,1676548.77897
2013-03-03,0.143980176825,33.003500644,130978.36887,370055664.644,34273,10852050,1033499.40966
2013-03-04,0.161403432574,37.9974513994,160957.8,394631048.75,40375,10856425,938719.590433
2013-03-05,0.171265830994,32.5692440566,152192.04,434841407,45553,10860175,1851112.58172
2013-03-06,0.185244819264,35.1747835811,195225,516050687.5,52412,10864225,2208007.59279
2013-03-07,0.190443070311,33.003500644,168186.14618,461811834.598,51281,10868025,1653013.75407
2013-03-08,0.197359352896,31.7007308818,159240.9,467264591.5,48391,10871675,1504043.04232
2013-03-09,0.125078089097,36.9118099308,197341.69368,500413490.286,41355,10875925,874958.378145
2013-03-10,0.170951405087,40.1687343365,218038.5,505945575,45331,10880550,1273495.25877
2013-03-11,0.165607472902,40.3858626302,224663.0282,519656182.44,42498,10885200,1090979.46154
2013-03-12,0.170844546819,25.6211386579,135053.13,490159579.137,39137,10888150,1280750.73856
2013-03-13,0.16614738068,33.4377572314,183128.36087,509745491.08,54264,10892000,1598992.55008
2013-03-14,0.144459013037,44.5809016947,221251.1652,515147644.871,47557,10896625,1278859.21725
2013-03-15,0.159684461706,40.9662339897,203742.2156,515066888.794,51067,10900875,4072067.00606
2013-03-16,0.120288149877,42.4121010717,209027.07,513747505.25,42592,10905275,3481094.35017
2013-03-17,0.0758208946641,48.9185029407,242238.3414,517607733.665,41008,10910350,990629.708484
2013-03-18,0.0993256222602,43.1350346127,214949.15,520091411.25,42920,10914825,1640629.40436
2013-03-19,0.115855788216,47.4726358587,287529.28,630724760,52355,10919750,3904974.87728
2013-03-20,0.103490854967,45.0628573887,298596.13603,692714184.19,49153,10924425,1907336.62961
2013-03-21,0.112556752603,53.7380598807,414829.8,806634000,51230,10930000,1692764.3183
2013-03-22,0.125652766758,54.2200155747,406763.5,781897187.5,58318,10935625,1872881.84904
2013-03-23,0.133904452551,50.6053478697,334656,689275125,50716,10940875,1496233.09781
2013-03-24,0.106312791323,72.2287385885,382956.3,767335630,57950,10946300,1082056.08028
2013-03-25,0.173441353966,45.2677808665,254691.86706,809051214.606,51092,10949700,1428160.79191
2013-03-26,0.148378555591,51.9248074646,307554,854380800,56598,10953600,1381606.5927
2013-03-27,0.183230263846,41.9392675675,285191.2,974055075,56615,10956750,3055075.43613
2013-03-28,0.159742088957,59.5803880523,422922.8852,1025609049.19,65540,10961225,1882944.37335
2013-03-29,0.173610566737,60.578942042,411945.3,976502263.75,69638,10965775,1552824.38049
2013-03-30,0.164656317378,55.2533207636,381744.95805,998263065.301,60390,10969925,1765378.99258
2013-03-31,0.177461854971,52.2576587945,368057.53979,1015081234.74,49192,10973850,1559233.9022
2013-04-01,0.120382160222,72.5615899184,564112.58503,1125488152.79,55367,10979300,1340646.51759
2013-04-02,0.166685643877,58.2489827327,481891.36,1194254982.75,70819,10983675,2511772.57462
2013-04-03,0.174664717042,59.2475367224,627608.38,1525041868.75,85804,10988125,2426363.03691
2013-04-04,0.209831798077,53.2562127842,538423.88021,1450949397.95,86046,10992125,2285305.00319
2013-04-05,0.182260162301,54.9254728655,525157.6,1581185255,82343,10995725,2277775.25752
2013-04-06,0.156958653813,64.0797183431,604475.0313,1567463462.68,68732,10999925,1383020.59815
2013-04-07,0.189704865585,61.7911569737,656408.77,1761733096.31,74149,11003975,1094580.44135
2013-04-08,0.177913327189,64.461145238,786232,2025508800,93700,11008200,1371481.26994
2013-04-09,0.164770058223,64.0797183431,1009791.57,2620841076,85063,11012400,1918801.68283
2013-04-10,0.173842336821,70.1825486615,924462,2181366000,102016,11017000,2294955.68326
2013-04-11,0.200240065412,62.5540107635,513594.87876,1360014540.68,100830,11021100,2929384.83997
2013-04-12,0.165646558552,65.9868528176,335017.44,843312707.4,87352,11025425,2005155.97414
2013-04-13,0.149330654984,60.646876289,440080.45981,1207719189.71,72076,11029400,1511454.66735
2013-04-14,0.151837501058,62.1725838686,375375,1004046225,57080,11033475,812695.555061
