Date,Price,Open,High,Low,Change %
"Nov 27, 2020",1788.13,1811.09,1813.81,1773.93,-1.24%
"Nov 26, 2020",1810.57,1805.74,1818.78,1805.31,0.29%
"Nov 25, 2020",1805.3,1807.69,1817.98,1801.33,-0.12%
"Nov 24, 2020",1807.51,1836.65,1839.26,1800.69,-1.54%
"Nov 23, 2020",1835.85,1869.84,1876.72,1830.85,-1.85%
"Nov 20, 2020",1870.49,1867.59,1879.98,1860.66,0.17%
"Nov 19, 2020",1867.37,1871.44,1874.34,1852.48,-0.22%
"Nov 18, 2020",1871.41,1878.6,1884.92,1863.94,-0.38%
"Nov 17, 2020",1878.6,1889.15,1893.9,1877.69,-0.52%
"Nov 16, 2020",1888.52,1888.74,1899.35,1864.74,0.03%
"Nov 13, 2020",1888.04,1876.44,1897.16,1873.76,0.65%
"Nov 12, 2020",1875.76,1865.3,1883.88,1862.46,0.59%
"Nov 11, 2020",1864.71,1877.34,1884.93,1856.05,-0.63%
"Nov 10, 2020",1876.5,1862.15,1890.6,1860.3,0.79%
"Nov 09, 2020",1861.86,1954.65,1965.92,1850.36,-4.59%
"Nov 06, 2020",1951.51,1949.24,1960.77,1935.4,0.15%
"Nov 05, 2020",1948.56,1903.65,1952.95,1902.43,2.38%
"Nov 04, 2020",1903.21,1908.59,1916.68,1883.15,-0.27%
"Nov 03, 2020",1908.36,1895.8,1910.71,1886.81,0.70%
"Nov 02, 2020",1895.1,1878.59,1896.12,1873.21,0.91%
"Oct 30, 2020",1877.95,1868.24,1889.85,1864.64,0.58%
"Oct 29, 2020",1867.13,1876.94,1885.42,1859.67,-0.53%
"Oct 28, 2020",1877.06,1908.05,1911.03,1869.59,-1.56%
"Oct 27, 2020",1906.83,1902.19,1911.34,1897.47,0.27%
"Oct 26, 2020",1901.69,1902.34,1908.55,1890.9,0.05%
"Oct 23, 2020",1900.79,1904.24,1914.3,1894.54,-0.17%
"Oct 22, 2020",1904.04,1924.34,1926,1894.8,-1.06%
"Oct 21, 2020",1924.49,1908.65,1931.41,1907.94,0.95%
"Oct 20, 2020",1906.39,1904.24,1914.2,1894.74,0.11%
"Oct 19, 2020",1904.27,1899.94,1918.59,1897.09,0.28%
"Oct 16, 2020",1898.97,1907.95,1914.06,1897.59,-0.46%
"Oct 15, 2020",1907.82,1900.31,1909.22,1889.46,0.36%
"Oct 14, 2020",1900.89,1891.9,1913.03,1882.44,0.53%
"Oct 13, 2020",1890.82,1922.42,1925.73,1886.59,-1.62%
"Oct 12, 2020",1921.95,1930.5,1933.45,1918.19,-0.39%
"Oct 09, 2020",1929.43,1894.19,1930.83,1893.32,1.92%
"Oct 08, 2020",1893.09,1887.4,1900.73,1881.86,0.31%
"Oct 07, 2020",1887.22,1878.84,1898.31,1873.05,0.54%
"Oct 06, 2020",1877.13,1913.28,1921.1,1874.57,-1.87%
"Oct 05, 2020",1912.9,1902.24,1918.74,1886.81,0.75%
